PM2.5,PM10,SO2,NO2,O3,TEMP,PRES,DEWP,RAIN,WSPM,CO
3,6,28,50,43,-0.9,1031.7,-18,0,1.6,500
3,13,26,39,54,0.1,1031.7,-18.1,0,0.5,500
3,9,25,43,52,1.5,1031.2,-18,0,0.6,500
14,16,25,52,46,2.6,1030.2,-18.2,0,3.1,700
18,19,24,75,30,3.8,1029,-17.8,0,1.1,1000
26,37,29,72,35,3.8,1027.6,-17.8,0,1,1000
33,42,24,59,48,3.9,1026.8,-18.3,0,0.4,800
24,42,27,58,50,4.3,1026.2,-18,0,1.5,1000
42,52,50,67,44,4.1,1025.4,-16.9,0,1.9,1300
54,66,51,72,38,3.2,1025.3,-16,0,1.3,1200
63,69,50,75,34,2.2,1025.4,-15.8,0,0.4,1100
64,77,51,80,28,1.6,1025,-15.4,0,0.1,1200
65,82,54,98,13,0.7,1025,-15.3,0,1,1399
69,90,68,116,6,0.5,1024.8,-15.1,0,0.2,2200
83,109,73,118,6,-1,1024.2,-14.6,0,0,2200
92,114,78,108,7,-1.3,1023.2,-14.5,0,0,2899
122,142,86,106,8,-2.2,1022.3,-12.8,0,0,3100
134,152,72,108,7,-1.8,1021.4,-13.3,0,0.7,3299
145,162,76,109,7,-2.4,1020.4,-13.3,0,1.3,2899
139,145,88,111,5,-3.3,1019.4,-12.5,0,1.2,2200
87,111,84,107,5,-4.2,1019,-12.6,0,0.1,2500
90,109,77,102,5,-5.2,1018.5,-11.6,0,0.9,3100
118,122,83,106,6,-5.4,1018.3,-11.3,0,0,3399
118,122,74,103,6,-3.3,1018.6,-9.8,0,0.1,3200
122,137,88,105,5,1.2,1018.1,-13.7,0,0.8,3200
118,137,91,102,6,4,1017.6,-13.4,0,0.6,2600
108,118,102,105,10,6.8,1016.7,-13.5,0,1.1,2299
104,119,95,111,14,9.5,1015.6,-13.7,0,0.5,2200
106,126,91,132,14,13.4,1014.4,-13.6,0,1.8,2600
115,142,68,130,19,15.5,1013,-13.8,0,4,2399
102,128,28,66,50,16.4,1012.4,-15.4,0,7,1200
56,77,9,24,80,16.6,1012,-15.2,0,4.7,500
30,70,8,28,78,15.8,1012.2,-14.7,0,1.3,500
27,89,23,74,56,12.6,1013,-13.4,0,1.3,1000
63,126,37,106,35,9.9,1014.1,-10.3,0,1,1300
94,168,60,147,10,6.8,1014.9,-9.6,0,0,1899
130,215,58,151,5,5.2,1015.2,-8.3,0,0,2200
149,227,53,143,5,4,1015.4,-9.1,0,0.2,2399
134,170,42,132,5,2.7,1015.8,-8.4,0,0.4,2600
103,138,36,128,5,7.1,1016.7,-12.2,0,0.4,2799
88,119,38,119,6,9.9,1017.5,-14.1,0,4.9,2899
76,94,21,58,29,9.3,1018.4,-13.9,0,3.6,800
26,42,7,17,74,8.4,1018.7,-13.9,0,1.5,400
11,27,5,14,80,7.4,1018.6,-14.2,0,3.6,300
7,12,8,18,74,6.2,1019.6,-15.2,0,2.7,300
3,6,10,22,74,6,1020.1,-14.2,0,2.4,300
3,6,14,39,53,4.2,1020.8,-12.7,0,2,400
12,20,20,72,20,7.2,1021.5,-12.6,0,3.2,600
10,24,26,75,19,8.6,1022.3,-14.4,0,2.8,700
13,27,23,51,44,9.9,1022.6,-14.8,0,2.4,600
13,20,16,32,68,11.5,1022.3,-14.3,0,0,500
14,18,8,22,80,12.3,1022,-15.4,0,2.4,400
12,17,11,25,81,13.9,1020.6,-16.2,0,3.3,500
3,13,4,19,88,14.8,1019.5,-15.5,0,1.4,400
3,6,4,21,89,15.3,1018.6,-15.1,0,1.3,400
10,11,4,22,92,15.6,1018.1,-14.8,0,2,400
5,13,7,43,77,14.7,1017.5,-15.5,0,2.9,600
19,24,8,44,86,13.2,1017.8,-15.7,0,3,600
21,29,6,54,82,12.6,1018.3,-13.4,0,2.9,600
24,38,11,71,59,12,1018.5,-13.1,0,2.7,700
32,61,14,84,43,10.9,1018.8,-11.9,0,1.4,900
40,66,19,85,44,10.2,1018.8,-11.8,0,2,900
50,73,23,84,45,10,1018.5,-12,0,3,900
54,76,45,98,92,9.4,1017.5,-11.3,0,2.7,1100
69,87,54,66,92,8.8,1017,-10.7,0,2.1,1100
74,94,75,61,92,7.8,1016.5,-10.6,0,1.3,1100
87,112,74,63,92,4.7,1016.1,-10.6,0,0,1100
93,106,80,71,92,4.5,1015.7,-9.3,0,0,1300
99,110,88,82,92,1.3,1015.7,-8.8,0,1.2,1500
116,127,83,85,92,0.4,1015.7,-9.6,0,0.8,1700
121,128,67,103,92,-0.2,1015.5,-8.4,0,1,2500
116,131,61,103,92,2.1,1015.4,-8.6,0,0.9,3500
125,146,69,103,92,5,1015.1,-8.9,0,1,3799
140,167,86,118,92,6.7,1014.5,-8.9,0,1.3,4299
152,194,103,140,92,9.1,1013.8,-8.5,0,0.9,3799
128,197,105,152,92,10.9,1012.8,-8.4,0,1.3,3700
3,215,98,155,21,12.3,1011.4,-8.8,0,0,2799
3,192,86,162,92,13,1010.1,-8.3,0,1.5,2600
3,175,86,196,92,13.3,1009.5,-8,0,1.6,3000
163,192,85,211,86,13.8,1009.1,-7.6,0,1.9,3000
192,206,95,195,86,13.2,1009,-7.5,0,1.8,2700
203,230,93,163,82,11.6,1009.4,-7.3,0,0.7,2100
195,216,92,156,59,9.4,1009.8,-5.7,0,0.7,2000
185,204,97,175,48,6.7,1010.4,-5,0,0.1,2200
203,218,102,184,48,5.2,1010.7,-4.7,0,0,2700
217,226,117,183,48,4.3,1010.5,-2.6,0,1,2799
235,238,123,185,48,4.3,1010.7,-4.2,0,0.8,3299
242,243,122,181,48,4.9,1010.5,-5.8,0,0,3299
229,232,124,182,48,5.6,1010.4,-7,0,0.8,3299
202,236,117,169,44,3.5,1010.2,-6,0,0.5,2899
184,214,NA,158,35,6.3,1009.9,-7,0,1,2399
169,190,107,155,35,6.3,1009.6,-7,0,0.7,NA
153,175,87,NA,35,5.1,1009.5,-6.5,0,1,1899
145,160,93,139,35,4.6,1009.8,-6.3,0,0.7,2200
148,162,97,138,35,4.1,1010.3,-6.2,0,0.8,2500
156,178,108,131,35,5.3,1011,-6,0,0.9,2399
152,179,88,119,35,6.9,1010.8,-6.5,0,1.3,2399
176,177,88,116,35,8.4,1010.8,-6.6,0,0.8,2500
138,170,96,114,35,8.8,1010.4,-6.2,0,1.1,2200
167,171,97,112,35,9.5,1009.5,-6,0,1,2100
172,176,109,122,35,10.4,1008.5,-5.6,0,0.2,2299
189,201,116,131,35,11.5,1007.6,-5.1,0,0.8,2500
204,223,118,138,35,13.2,1006.9,-4.5,0,1,2700
227,245,119,153,35,14.7,1007,-4.6,0,1.3,2899
237,257,133,166,35,14.6,1007.2,-4.7,0,0,3100
232,247,134,176,30,11.8,1007.9,-4.4,0,0.6,3200
232,249,146,179,14,8.5,1008.5,-4,0,0,3399
235,258,142,177,14,8.5,1009.3,-4.4,0,0.4,3500
235,262,140,173,14,5.8,1009.9,-3.6,0,0.2,3500
238,260,139,165,14,5.3,1009.4,-4,0,0.7,3700
234,257,140,158,14,8.3,1009.3,-3.6,0,1.8,3700
234,251,130,156,14,5,1009.4,-3.3,0,1,4099
231,249,121,151,14,2.9,1009.2,-3.2,0,0.6,3899
226,236,126,146,14,2.2,1009,-3.3,0,1.6,3600
228,241,122,140,14,3.3,1008.9,-3.3,0,1.6,3500
230,250,104,136,14,1.2,1008.3,-3.9,0,0.4,3600
227,245,74,153,14,0.9,1008.5,-2.5,0,1.4,6500
291,321,69,159,14,0.5,1008.6,-3.4,0,0.9,7200
314,337,88,165,14,-0.4,1008.4,-3.3,0,0.1,6500
318,331,87,157,14,2.6,1008.7,-1.8,0,0,5500
300,301,111,150,14,8.9,1008.7,-2.1,0,0.9,5000
281,287,160,149,14,9.4,1007.9,-2.6,0,1.1,4099
253,256,153,180,14,10.5,1007.2,-2.6,0,1,4500
258,273,130,216,14,14.7,1005.5,-2.3,0,3.2,4700
299,341,142,273,14,16,1003.2,-2.5,0,2.7,5599
363,396,136,210,32,17.9,1001.8,-3,0,2.5,3899
332,336,100,148,78,18.1,1000.5,-3.4,0,1.8,3299
317,319,75,106,102,19.5,999.3,-4.8,0,3,2600
214,261,58,94,102,19.1,998.9,-3.8,0,0.9,2000
150,194,63,87,102,17.3,998.5,-3.5,0,0.4,1700
195,208,66,118,102,12.5,998.9,-2.2,0,0.7,1899
188,198,64,144,34,11.2,999.4,-1.6,0,1,2000
178,196,69,190,102,10.2,999.6,0.2,0,0.5,2799
203,257,113,245,102,8.6,999.5,0.1,0,0.6,4599
403,502,122,256,102,8.1,1000.1,-0.9,0,0.8,5400
490,535,118,237,102,7,1000,-1.4,0,0.4,5400
493,500,116,223,102,5.4,1000,-1.5,0,0.9,5700
396,446,105,210,102,5.3,1000.2,-1.8,0,0.9,5099
346,391,107,203,102,4.1,999.9,-2.3,0,0,4700
312,340,105,200,102,3.5,999.8,-2.5,0,0.6,4299
303,329,86,188,102,3.4,1000.2,-2.6,0,1,4200
294,320,78,180,102,3.4,1001,-2,0,0.2,4200
291,314,72,174,102,3.5,1001.6,-2.5,0,0.7,4000
288,309,63,163,102,6.6,1002.2,-0.9,0,0.1,5000
284,306,76,161,102,11.6,1002.3,-1.9,0,1,5500
279,324,100,170,102,16.6,1002.6,-3.5,0,1,5200
216,233,78.54,151.922,102,19.9,1002.4,-5.2,0,0.9,NA
157,135,46,132,102,21.2,1002,-2.7,0,3.1,2500
105,123,36,111,102,21.7,1001.1,-4.4,0,2.9,1600
184,203,43,111,102,17.2,1001,0.8,0,3.5,1800
332,487,98,148,102,13.8,1001.2,-0.3,0,4.9,3899
239,284,87,97,102,11.9,1001.5,-2,0,5.1,2600
155,168,60,64,101,10.9,1001.7,-1.5,0,2.4,1500
86,101,46,50,93,9.9,1001.9,-1.5,0,1.6,1000
85,90,41,53,93,9.2,1002.4,-1,0,1.3,1000
88,92,38,68,93,8.4,1002.4,-2.3,0,1.9,1200
90,61,37,57,93,7.2,1002.2,-3.7,0,3,1000
59,65,35,66,93,6,1002,-4.5,0,1.9,1200
63,71,52,71,93,5.9,1001.1,-5.1,0,1,1700
82,54,60,67,93,5.3,999.2,-5.1,0,0.4,1700
51,53,72,63,93,4.4,997.9,-4.9,0,0,2000
61,84,84,83,93,3,996.9,-4.2,0,0.1,2600
72,91,87,88,93,2.6,995.9,-3.7,0,1.2,2700
77,102,83,80,93,2.3,994.7,-4.2,0,0.9,2899
81,104,79,103,93,1.7,993.7,-4,0,0,3100
84,111,80,104,93,2.4,993.9,-3.9,0,1.7,3600
114,117,77,106,93,4,994.1,-3.5,0,1.4,3799
106,107,72,109,93,5,994.7,-2.8,0,1.7,2500
108,117,78,103,93,7,996,-3.3,0,0.4,2200
114,140,88,100,93,14.3,997.3,-1.8,0,5.3,2100
130,227,86,90,93,17.3,999.6,-5.9,0,7.5,2000
62,325,29,28,93,13.8,1002.9,-10.9,0,6.1,600
62,740,3,14,93,11.7,1005.8,-16.8,0,9.2,300
45,558,3,12,93,9.9,1008.5,-19.3,0,6.4,300
47,710,3,12,94,9.5,1009.8,-19.6,0,7.1,300
36,811,3,12,94,9.7,1011.1,-19.4,0,4.7,300
15,281,3,13,94,10,1012.8,-20.3,0,6.2,300
15,175,3,13,94,8.9,1014.7,-20.1,0,6.5,300
12,100,3,12,94,7.9,1017.5,-20.8,0,5.2,300
12,84,3,15,94,6.9,1019.2,-20.6,0,7.1,300
14,79,3,18,94,6.1,1021,-20.3,0,8.8,300
12,77,3,19,94,5.6,1022.6,-19.9,0,4.5,300
14,32,3,18,94,5.3,1023.1,-20.1,0,2.4,300
9,10,3,15,94,4.3,1023.4,-20.1,0,1.6,300
3,7,3,21,94,2.1,1022.9,-17.5,0,1.6,400
3,7,6,31,94,0.2,1023.2,-16.6,0,0.5,400
14,15,6,41,94,-1.6,1023.1,-15.8,0,0,600
16,32,8,53,94,-0.9,1023.3,-15.9,0,0,NA
6,21,8,54,94,-1.9,1024,-14.7,0,0,800
26,37,11,87,94,-2.8,1024.1,-13.4,0,0,900
23,41,19,89,94,-2.1,1024.4,-13.3,0,0.1,1000
25,31,20,91,94,3.7,1025.4,-15.6,0,3,1300
29,35,25,80,94,5.7,1025.5,-16.8,0,2.8,1000
26,33,30,57,94,6.8,1025,-17.3,0,5.2,800
27,40,24,48,94,8.7,1024.3,-17.4,0,3.1,800
36,54,20,37,94,9.9,1023.7,-17.3,0,2.4,800
36,44,21,36,94,11.3,1022.8,-17.2,0,1.3,700
32,34,18,30,94,11.2,1021.7,-17.2,0,3.8,600
32,35,18,32,94,11.4,1020.8,-16.1,0,3.9,600
32,46,17,31,95,11.3,1020.4,-16.2,0,3.9,500
38,55,18,31,95,10.8,1020.2,-14.9,0,4.6,500
41,64,20,37,95,9.6,1020.2,-14.3,0,3,500
52,80,22,44,95,8.9,1020.6,-13.5,0,3.7,600
60,84,26,58,95,8.3,1020.9,-12.8,0,3.2,800
74,101,33,80,95,7.6,1021.1,-12.3,0,2.4,900
73,99,32,82,95,7.2,1021.2,-12.1,0,2.8,900
78,108,42,88,95,6.8,1020.6,-11.9,0,2.3,1100
79,106,47,84,95,6.7,1020.7,-12.5,0,2.4,1000
79,104,58,68,95,5.3,1020.5,-11.3,0,0.9,900
91,119,88,70,95,4.5,1020.1,-11.2,0,0.8,1000
94,114,89,73,95,3.6,1019.3,-10.5,0,0.4,1000
101,120,95,82,95,2.4,1019,-9.9,0,0.4,1100
99,106,83,85,95,0.2,1018.9,-9,0,1.6,1100
93,98,81,68,95,1.5,1018.9,-8.9,0,0.1,900
88,100,62,81,95,-0.2,1019.1,-8.2,0,0.8,1100
87,89,54,88,95,2.1,1019.2,-7.8,0,0.8,1100
94,102,72,90,95,5,1019.1,-8.2,0,0.8,1300
104,114,80,90,95,6,1018.6,-8.7,0,2.3,1399
116,131,100,96,95,7.5,1017.8,-8.6,0,2.2,1700
131,153,113,105,95,9.1,1016.5,-9.4,0,2,2000
148,157,125,108,95,10.5,1015.2,-9.3,0,1.9,1899
134,140,116,91,95,11.6,1013.8,-7.8,0,3.1,1500
105,130,97,63,95,11.8,1012.8,-7.6,0,3.7,1100
108,118,104,65,93,11.6,1012.1,-7.8,0,3.4,1100
110,140,115,84,86,11,1011.3,-6.4,0,2.7,1399
130,184,156,99,86,10.6,1011.6,-4.6,0,2.2,2000
137,204,86,92,74,10.4,1011.9,-4.1,0,1.3,1500
145,185,74,95,65,10.4,1012.2,-3.3,0,0.8,1399
154,197,74,110,65,10.2,1012.4,-5,0,1.1,1600
151,169,65,104,65,9.6,1011.8,-5.1,0,0.8,1500
115,121,46,90,65,9.2,1011.5,-5.5,0,1.5,1200
99,122,39,91,65,8.5,1010.4,-5.4,0,0.9,1300
109,124,54,101,65,7.8,1009.7,-5.3,0,1.3,1399
122,148,66,101,65,7.6,1008.8,-4.8,0,1.1,2000
123,133,70,96,65,6.7,1007.9,-3.8,0,0.8,1899
123,134,73,96,65,7.2,1008,-2.8,0,1.5,1899
128,146,79,95,65,5.6,1008.6,-0.1,0.5,0.2,2100
125,186,55,91,65,4.5,1008.3,0.8,0.3,1.7,2200
134,135,20,92,65,3.8,1008.5,2,1,0,2299
107,114,20,91,65,3,1008.8,1.5,2.6,0.9,2200
116,114,17,85,65,3.4,1008.8,2.2,0.3,1.7,1800
114,87,17,86,65,3.5,1008.6,2.3,0.1,1.3,1700
101,102,23,92,65,3.7,1008.9,2.5,0.2,0.9,2100
122,125,24,94,65,4,1008.7,2.7,0.1,1.6,2200
125,125,25,93,65,4.6,1008.2,2.8,0.1,1.3,2200
148,126,36,90,65,4.9,1008.8,3.2,0,1.5,2000
137,94,34,83,64,5.2,1009.1,3.4,0,2.1,1600
123,85,33,77,45,5.6,1009.3,3.8,0,1.5,1500
108,109,30,82,39,6.5,1009.7,3.8,0.1,0,1700
134,109,43,85,39,6.4,1011.3,3.5,0,0.8,1700
140,115,41,92,34,5.3,1012.7,3.5,0,1.4,1899
142,108,38,96,18,4.6,1014.3,3.4,0,0.6,2000
130,137,30,96,17,4.6,1016.3,3.4,0,0.8,2700
166,138,31,94,17,4.6,1017.6,3.6,0,1.9,2799
163,137,28,94,14,4.1,1018.7,1.6,0,0.9,2399
128,52,38,77,7,5.3,1019.5,-6.3,0,2.5,1700
83,22,42,78,7,4.5,1020.3,-9,0,3.5,1300
27,27,29,44,37,3.4,1020.8,-9.3,0,1.6,600
10,10,11,18,67,2.3,1021.2,-9.9,0,1.5,300
15,15,11,17,73,1.5,1021.8,-11.3,0,1.1,300
3,6,14,27,73,0.7,1022.6,-10.2,0,1.2,400
12,6,14,30,73,0.3,1023.3,-10.5,0,1.5,400
13,NA,15,43,73,0.1,1024.4,-10.7,0,0.9,500
13,2,20,50,73,2.2,1025.7,-11,0,1.8,600
7,7,24,62,73,3,1027.1,-12.1,0,4,600
7,13,20,40,73,4,1027.5,-13.4,0,3.4,500
16,14,10,25,73,4.7,1027.4,-13.7,0,2.3,400
10,6,6,17,78,5.7,1026.7,-11.9,0,2.9,300
8,6,5,15,84,6.1,1026,-15.9,0,1.5,300
14,6,4,14,90,7.1,1024.9,-15,0,1.4,300
12,6,5,15,93,8.3,1024.3,-16.1,0,0.9,300
7,6,6,18,93,8.2,1023.9,-14.8,0,2.8,400
3,6,7,21,93,8,1024,-14.3,0,1.8,400
7,12,7,32,93,7,1024.5,-14.5,0,1.7,400
25,28,13,66,93,6,1025.3,-13.1,0,1.5,600
36,42,12,59,93,5.6,1025.8,-12,0,2,600
33,34,10,62,93,5,1026.3,-11.6,0,1.4,600
24,31,10,61,93,4.8,1026.6,-11.8,0,1.8,600
35,24,14,56,93,3.8,1026.6,-6.8,0,3,700
45,59,20,58,93,2.4,1026.9,-4.8,0,2.9,800
65,106,30,65,93,1.6,1026.8,-5.6,0,3.3,1300
60,68,29,55,93,0.9,1026.9,-5.8,0,1.3,1399
57,59,29,53,93,0.2,1026.5,-6,0,2,1200
72,56,26,60,93,-0.7,1026.2,-5.9,0,2.1,NA
58,65,24,61,93,-1.2,1026.1,-4.7,0,1.4,1500
85,62,32,75,93,-1.1,1026.4,-4.8,0,1.3,1600
69,70,26,72,93,-1,1026.4,-4.2,0,0.9,1500
55,63,22,69,93,-0.1,1026.8,-4.4,0,1.3,1500
79,79,29,68,93,1.5,1026.8,-4.8,0,1.2,1500
89,102,39,69,93,2.9,1026.3,-5,0,1,1700
100,102,47,71,93,4.4,1025.1,-4.9,0,1.2,1600
111,115,47,77,93,5.5,1024.2,-4.7,0,1.8,1700
120,122,48,85,93,8.1,1023.1,-5.7,0,2.7,1700
102,106,89,74,93,8.9,1021.8,-6.1,0,3.1,1300
89,99,118,59,92,9.8,1021,-6.1,0,4.3,1000
85,91,112,52,90,9.2,1020.4,-6.7,0,3.2,1000
79,88,114,66,81,8.7,1020.1,-6.3,0,2.1,1000
81,103,113,67,73,7.7,1020.2,-5.4,0,2.9,1100
89,106,97,82,73,6.9,1020.4,-4.8,0,1.1,1100
90,110,90,97,73,6.8,1020.6,-4.3,0,1.2,1200
92,108,89,102,73,5.1,1020.6,-3.7,0,1.3,1200
97,122,80,108,73,5,1020.5,-3.3,0,1.6,1399
145,150,85,112,73,3.8,1020.3,-3.3,0,1.1,1600
130,154,68,110,73,2.2,1019.8,-3.3,0,1.2,2100
135,160,57,110,73,1.3,1019.7,-3.2,0,0.5,2399
168,171,46,106,73,0.5,1019.2,-2.4,0,0.7,2700
185,199,53,113,73,0.7,1018.6,-3,0,1,2899
188,203,55,110,73,0.7,1018.3,-3,0,1,3299
202,215,49,106,73,-0.4,1018.2,-3.1,0,0,3600
211,227,46,106,73,-1,1018.2,-2.7,0,0.8,3399
202,214,44,106,73,-1.2,1017.9,-2.6,0,0,3100
186,190,47,101,73,1.8,1018.4,-1.8,0,0.7,2899
162,151,87,94,73,3.7,1018.5,-2.3,0,1.1,2100
134,159,123,92,73,5,1017.6,-2.4,0,1.1,1899
135,160,124,92,8,7.1,1016.8,-2.6,0,1,2000
198,203,102,98,14,8.7,1016.1,-2.3,0,1.5,2100
208,214,103,111,18,9.9,1015,-2.8,0,0.5,2200
227,228,99,133,73,11.1,1013.8,-2.4,0,1.8,2399
250,255,101,153,73,11.8,1013.2,-0.7,0,2.1,2600
272,294,98,152,60,12,1012.9,-0.5,0,1.7,2399
237,271,91,107,59,12,1012.8,-0.2,0,2.1,1800
230,253,89,96,59,11,1013.3,0.4,0,1.7,1700
262,262,83,101,59,10.4,1013.9,0.4,0,1,1700
230,268,84,105,59,8.1,1014.6,0.8,0,0.5,1700
244,278,92,125,59,6.9,1015.4,1.2,0,0,1899
249,274,89,139,59,6.4,1016.4,1.3,0,0.4,2000
278,278,86,136,59,7.4,1017.1,1,0,0,2399
272,276,71,128,59,6.9,1017.4,1.2,0,1.3,2799
328,342,70,146,59,5.9,1017.6,1,0,0.9,3700
339,340,68,144,59,7,1018,0,0,1.7,3200
279,288,74,129,59,6.4,1018.3,-0.8,0,2,2600
278,284,72,125,59,6.2,1018.6,-0.5,0,2.6,2399
301,268,67,109,59,6,1019.4,-0.7,0,2.4,2100
298,258,64,99,59,5.1,1020.3,-0.9,0,0.9,1899
297,253,56,97,59,5.3,1021.2,-0.8,0,1.7,2000
304,258,56,97,59,6.1,1022.1,-0.2,0,0.4,2200
300,252,80,100,59,8.5,1022.3,-0.5,0,1.1,2200
296,252,94,98,59,11.1,1022.3,-1,0,1,2100
279,238,100,94,59,13.1,1021.7,-1.7,0,1.7,2100
240,192,90,88,59,14,1021.3,-1.6,0,1.2,2100
207,148,82,74,80,14,1020.3,-2.5,0,2.3,2100
162,168,87,69,103,14.2,1019.2,-1.5,0,2.4,2200
217,164,81,72,104,14.1,1018.3,-1.2,0,2.5,2200
196,149,75,68,107,13.9,1017.6,-0.6,0,2.7,2100
163,187,84,83,107,13.3,1016.8,-0.4,0,2.5,2600
220,170,89,86,107,12.4,1016.7,2,0,2.4,2899
184,143,75,86,107,11,1016.6,1.8,0,2.1,2600
171,212,67,96,107,10,1016.8,2.1,0,2.1,2500
205,212,65,98,107,9.2,1016.6,1.4,0,1.9,2100
233,152,68,96,107,8.4,1015.9,0.4,0,1.7,2000
187,152,64,88,107,8.1,1015,-0.2,0,0.8,1899
184,131,59,104,107,7.9,1014.4,0.1,0,1.6,1899
190,132,66,107,107,7.6,1014,0.3,0,0.7,1700
154,154,79,106,107,6.6,1013.1,0.7,0,0.7,1800
196,155,96,101,107,5.7,1012,0.8,0,1.1,2299
208,150,93,114,107,6.6,1010.7,0.7,0,0.4,2600
215,161,88,100,107,6.4,1009.9,0.5,0,0.4,2299
217,152,79,97,107,6,1009.3,0.9,0,1,2100
218,163,69,94,107,5.3,1008,0.8,0,1.2,2000
222,158,60,99,107,5.8,1007.6,1.3,0,1,2200
181,192,61,106,107,7.8,1007.3,1.4,0,0.8,3000
198,236,76,115,107,9,1006.3,1.6,0,1.6,3200
218,250,92,127,107,10.3,1005.2,1.9,0,1.5,2899
235,272,96,129,107,11.9,1003.3,2.1,0,1,2700
258,302,112,114,107,13.7,1001.9,2.3,0,1.9,2500
286,331,123,124,107,14.9,1000.4,2.7,0,1.1,2600
316,362,126,115,107,15.9,999.2,3,0,2.4,2700
338,356,106,99,107,15.1,998.4,3.2,0,1.7,2500
337,347,91,96,107,15.8,997.8,3.2,0,0.6,2399
339,354,84,108,107,14.1,997.9,3.8,0,1.2,2399
341,346,73,105,107,12.4,997.8,3.9,0,1.3,2399
350,359,63,130,90,10.1,998,4.2,0,0.8,2700
371,391,55,166,107,11.2,998.2,4.2,0,1.3,3200
412,450,63,183,107,10.4,998.3,4.3,0,1.5,3799
462,499,62,192,107,8.7,997.7,4.1,0,0.8,4299
515,460,63,174,107,7.9,997.8,4.5,0,1,4099
485,461,62,161,107,8.4,997.9,3.8,0,1.1,4200
481,430,62,161,107,11.3,998,-5.7,0,2.4,3899
309,411,62,112,107,11.7,997.9,-8.8,0,2.7,2200
53,108,9,34,107,11.2,998.1,-10.4,0,3.8,NA
30,34,6,34,107,10.3,998.7,-10.5,0,4.3,300
18,40,4,16,107,9.1,1000.8,-8.5,0,5.8,200
15,65,6,15,107,7.8,1002,-11,0,8.3,300
3,14,10,21,107,7.2,1003.8,-14.9,0,4.3,300
10,6,3,19,107,6.8,1004.9,-16.6,0,2.6,200
3,6,3,19,107,8.3,1005.9,-19.5,0,6.9,200
3,6,3,16,107,9,1006.3,-20,0,3.2,200
3,6,3,14,107,9.9,1006.1,-18.3,0,4.9,200
6,6,3,12,107,10.8,1005.3,-18.6,0,3.5,200
13,6,3,14,107,11.3,1004,-17.2,0,4.3,300
12,6,5,14,107,11.2,1002.8,-17.2,0,2.7,300
16,6,6,16,107,11.2,1002.3,-17.2,0,1.6,300
16,6,6,17,95,10.2,1002,-17.1,0,3.2,300
3,6,7,39,79,9.2,1002.6,-5.1,0,5,300
29,101,8,41,76,6.3,1003.6,-4.2,0,6,400
73,220,40,68,35,4.7,1005.4,-4.9,0,4.9,1300
44,63,22,43,51,3.5,1006,-4.9,0,2.5,700
15,31,17,34,56,2.9,1006.5,-5.8,0,2.6,600
9,15,16,40,48,2,1006.4,-5.6,0,2.8,700
9,15,16,40,41,1.8,1007.5,-5.6,0,3.2,900
4,16,17,46,36,1.5,1007.8,-5.4,0,2.8,700
8,17,16,47,41,1.1,1008.1,-5.4,0,2.2,600
6,11,16,41,31,0.9,1007.8,-5.8,0,2,600
5,18,13,47,37,0.6,1007.9,-5.9,0,1.7,400
3,7,11,40,36,0.5,1007.5,-5.9,0,1.6,400
3,6,12,42,39,0.5,1007.7,-5.1,0,1.4,400
3,6,11,38,42,0.4,1008.3,-4.8,0,1.1,500
